arms: ['control', 'longdoc', 'logic_band25', 'nl_exact_band25'] n docs: 1000
metric,arm,mean
pass16,control,0.5700
pass16,longdoc,0.6140
pass16,logic_band25,0.8140
pass16,nl_exact_band25,0.8640
pass1,control,0.0688
pass1,longdoc,0.0771
pass1,logic_band25,0.2061
pass1,nl_exact_band25,0.2736
metric,contrast,diff,ci_lo,ci_hi,p_le0
pass16,control-longdoc,-0.0440,-0.0800,-0.0070,0.9912
pass16,control-logic_band25,-0.2440,-0.2800,-0.2080,1.0000
pass16,control-nl_exact_band25,-0.2940,-0.3310,-0.2580,1.0000
pass16,longdoc-logic_band25,-0.2000,-0.2350,-0.1630,1.0000
pass16,longdoc-nl_exact_band25,-0.2500,-0.2860,-0.2140,1.0000
pass16,logic_band25-nl_exact_band25,-0.0500,-0.0790,-0.0210,1.0000
pass1,control-longdoc,-0.0083,-0.0139,-0.0026,0.9970
pass1,control-logic_band25,-0.1373,-0.1494,-0.1247,1.0000
pass1,control-nl_exact_band25,-0.2048,-0.2193,-0.1904,1.0000
pass1,longdoc-logic_band25,-0.1291,-0.1415,-0.1162,1.0000
pass1,longdoc-nl_exact_band25,-0.1966,-0.2109,-0.1823,1.0000
pass1,logic_band25-nl_exact_band25,-0.0675,-0.0828,-0.0524,1.0000
